Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Status,Metafield: custom.scent_code [single_line_text_field],Metafield: custom.duftfamilie [list.single_line_text_field],Metafield: custom.charakter [list.single_line_text_field],Metafield: custom.intensitaet [single_line_text_field],Metafield: custom.jahreszeit [list.single_line_text_field],Metafield: custom.anlass [list.single_line_text_field],Metafield: custom.geschlecht [single_line_text_field],Metafield: custom.konzentration [list.single_line_text_field],Metafield: custom.linie [single_line_text_field],Metafield: custom.kopfnoten [list.single_line_text_field],Metafield: custom.herznoten [list.single_line_text_field],Metafield: custom.basisnoten [list.single_line_text_field],Metafield: custom.sample_verfuegbar [boolean],Metafield: custom.travel_verfuegbar [boolean],Metafield: custom.bestseller [boolean]
vc-047,VC-047,<p><strong>DEMO – Beispieldatensatz. Duftbeschreibung und Duftnoten werden mit echten VENT-CELESTE-Daten ergänzt.</strong></p>,VENT CELESTE,Duft,"bestseller, oeffentlich, linie:hauptlinie, konzentration:extrait, konzentration:edp, travel, sample",TRUE,Ausführung,Extrait 30 ml,VC-047-EXT,120,shopify,50,deny,manual,29.90,TRUE,TRUE,g,active,VC-047,,,,,,,"Extrait,Eau de Parfum",Hauptlinie,,,,TRUE,TRUE,TRUE
vc-047,,,,,,,Ausführung,Eau de Parfum 30 ml,VC-047-EDP,120,shopify,50,deny,manual,22.90,TRUE,TRUE,g,,,,,,,,,,,,,,,,
vc-047,,,,,,,Ausführung,Travel 10 ml,VC-047-TRV,60,shopify,50,deny,manual,12.90,TRUE,TRUE,g,,,,,,,,,,,,,,,,
vc-047,,,,,,,Ausführung,Sample 2 ml,VC-047-SMP,15,shopify,50,deny,manual,1.00,TRUE,TRUE,g,,,,,,,,,,,,,,,,
vc-049,VC-049,<p><strong>DEMO – Beispieldatensatz. Duftbeschreibung und Duftnoten werden mit echten VENT-CELESTE-Daten ergänzt.</strong></p>,VENT CELESTE,Duft,"bestseller, oeffentlich, linie:hauptlinie, konzentration:extrait, konzentration:edp, travel, sample",TRUE,Ausführung,Extrait 30 ml,VC-049-EXT,120,shopify,50,deny,manual,29.90,TRUE,TRUE,g,active,VC-049,,,,,,,"Extrait,Eau de Parfum",Hauptlinie,,,,TRUE,TRUE,TRUE
vc-049,,,,,,,Ausführung,Eau de Parfum 30 ml,VC-049-EDP,120,shopify,50,deny,manual,22.90,TRUE,TRUE,g,,,,,,,,,,,,,,,,
vc-049,,,,,,,Ausführung,Travel 10 ml,VC-049-TRV,60,shopify,50,deny,manual,12.90,TRUE,TRUE,g,,,,,,,,,,,,,,,,
vc-049,,,,,,,Ausführung,Sample 2 ml,VC-049-SMP,15,shopify,50,deny,manual,1.00,TRUE,TRUE,g,,,,,,,,,,,,,,,,
vc-026,VC-026,<p><strong>DEMO – Beispieldatensatz. Duftbeschreibung und Duftnoten werden mit echten VENT-CELESTE-Daten ergänzt.</strong></p>,VENT CELESTE,Duft,"bestseller, oeffentlich, linie:hauptlinie, konzentration:extrait, konzentration:edp, travel, sample",TRUE,Ausführung,Extrait 30 ml,VC-026-EXT,120,shopify,50,deny,manual,29.90,TRUE,TRUE,g,active,VC-026,,,,,,,"Extrait,Eau de Parfum",Hauptlinie,,,,TRUE,TRUE,TRUE
vc-026,,,,,,,Ausführung,Eau de Parfum 30 ml,VC-026-EDP,120,shopify,50,deny,manual,22.90,TRUE,TRUE,g,,,,,,,,,,,,,,,,
vc-026,,,,,,,Ausführung,Travel 10 ml,VC-026-TRV,60,shopify,50,deny,manual,12.90,TRUE,TRUE,g,,,,,,,,,,,,,,,,
vc-026,,,,,,,Ausführung,Sample 2 ml,VC-026-SMP,15,shopify,50,deny,manual,1.00,TRUE,TRUE,g,,,,,,,,,,,,,,,,
vc-035,VC-035,<p><strong>DEMO – Beispieldatensatz. Duftbeschreibung und Duftnoten werden mit echten VENT-CELESTE-Daten ergänzt.</strong></p>,VENT CELESTE,Duft,"bestseller, oeffentlich, linie:hauptlinie, konzentration:extrait, konzentration:edp, travel, sample",TRUE,Ausführung,Extrait 30 ml,VC-035-EXT,120,shopify,50,deny,manual,29.90,TRUE,TRUE,g,active,VC-035,,,,,,,"Extrait,Eau de Parfum",Hauptlinie,,,,TRUE,TRUE,TRUE
vc-035,,,,,,,Ausführung,Eau de Parfum 30 ml,VC-035-EDP,120,shopify,50,deny,manual,22.90,TRUE,TRUE,g,,,,,,,,,,,,,,,,
vc-035,,,,,,,Ausführung,Travel 10 ml,VC-035-TRV,60,shopify,50,deny,manual,12.90,TRUE,TRUE,g,,,,,,,,,,,,,,,,
vc-035,,,,,,,Ausführung,Sample 2 ml,VC-035-SMP,15,shopify,50,deny,manual,1.00,TRUE,TRUE,g,,,,,,,,,,,,,,,,
vc-040,VC-040,<p><strong>DEMO – Beispieldatensatz. Duftbeschreibung und Duftnoten werden mit echten VENT-CELESTE-Daten ergänzt.</strong></p>,VENT CELESTE,Duft,"bestseller, oeffentlich, linie:hauptlinie, konzentration:extrait, konzentration:edp, travel, sample",TRUE,Ausführung,Extrait 30 ml,VC-040-EXT,120,shopify,50,deny,manual,29.90,TRUE,TRUE,g,active,VC-040,,,,,,,"Extrait,Eau de Parfum",Hauptlinie,,,,TRUE,TRUE,TRUE
vc-040,,,,,,,Ausführung,Eau de Parfum 30 ml,VC-040-EDP,120,shopify,50,deny,manual,22.90,TRUE,TRUE,g,,,,,,,,,,,,,,,,
vc-040,,,,,,,Ausführung,Travel 10 ml,VC-040-TRV,60,shopify,50,deny,manual,12.90,TRUE,TRUE,g,,,,,,,,,,,,,,,,
vc-040,,,,,,,Ausführung,Sample 2 ml,VC-040-SMP,15,shopify,50,deny,manual,1.00,TRUE,TRUE,g,,,,,,,,,,,,,,,,
